"Código","Unidade Territorial","UF","Referência","Pessoas Elegiveis","Valor a Ser Repassado","Pessoas ELegiveis a receber R$150","Recurso destinado aos elegiveis com valor de R$150","Pessoas elegiveis a receber R$ 250","Recurso destinado aos elegiveis com valor de R$250","Pessoas Elegiveis a receber R$375","Recurso destinado aos elegiveis com valor de R$375"
"110001","ALTA FLORESTA D´OESTE","RO","2021","5666","8776700.0","2162","2143500.0","2554","4220000.0","948","2408625.0"
"110002","ARIQUEMES","RO","2021","23096","34607275.0","10729","10385700.0","7365","11813500.0","4992","12384375.0"
"110003","CABIXI","RO","2021","1180","1841175.0","449","445050.0","525","873750.0","205","521625.0"
"110004","CACOAL","RO","2021","16234","23986050.0","6965","6676050.0","6406","10264250.0","2853","7029375.0"
"110005","CEREJEIRAS","RO","2021","3644","5609450.0","1560","1508700.0","1346","2235750.0","731","1857000.0"
"110006","COLORADO DO OESTE","RO","2021","3149","4696700.0","1344","1326450.0","1326","2162750.0","479","1207500.0"
"110007","CORUMBIARA","RO","2021","1526","2404725.0","594","582600.0","619","1026750.0","313","794625.0"
"110008","COSTA MARQUES","RO","2021","3244","5222625.0","1236","1225500.0","1277","2132000.0","729","1860750.0"
"110009","ESPIGÃO D´OESTE","RO","2021","6290","9536200.0","2500","2413950.0","2642","4273250.0","1143","2838750.0"
"110010","GUAJARÁ-MIRIM","RO","2021","9794","15447950.0","4089","4002075.0","3475","5742250.0","2223","5692125.0"
"110011","JARU","RO","2021","11347","17270375.0","4872","4773000.0","4312","7066000.0","2149","5408250.0"
"110012","JI-PARANÁ","RO","2021","25537","37851300.0","11397","10991100.0","9272","14897000.0","4856","11943750.0"
"110013","MACHADINHO D´OESTE","RO","2021","8300","12688975.0","3473","3436350.0","3349","5519500.0","1474","3724875.0"
"110014","NOVA BRASILÂNDIA D´OESTE","RO","2021","3751","5950025.0","1211","1202400.0","1975","3313000.0","563","1429875.0"
"110015","OURO PRETO DO OESTE","RO","2021","7993","11976200.0","3448","3374700.0","3179","5190750.0","1366","3409875.0"
"110018","PIMENTA BUENO","RO","2021","6292","9266975.0","2832","2702100.0","2170","3449250.0","1289","3110250.0"
"110020","PORTO VELHO","RO","2021","120163","178833925.0","61271","59218200.0","31282","50435000.0","27424","68889375.0"
"110025","PRESIDENTE MÉDICI","RO","2021","4455","6938525.0","1729","1704900.0","1866","3068500.0","854","2156250.0"
"110026","RIO CRESPO","RO","2021","819","1250875.0","365","355500.0","274","440500.0","180","453750.0"
"110028","ROLIM DE MOURA","RO","2021","10914","16356425.0","4714","4570800.0","4128","6669500.0","2064","5103000.0"
"110029","SANTA LUZIA D´OESTE","RO","2021","1583","2493700.0","556","547200.0","749","1239500.0","278","706500.0"
"110030","VILHENA","RO","2021","16786","24950250.0","7787","7409250.0","5230","8276750.0","3759","9241500.0"
"110032","SÃO MIGUEL DO GUAPORÉ","RO","2021","4502","6918600.0","1711","1677600.0","2059","3403000.0","730","1834875.0"
"110033","NOVA MAMORÉ","RO","2021","6966","10789425.0","2980","2992800.0","2757","4646250.0","1227","3145875.0"
"110034","ALVORADA D´OESTE","RO","2021","3398","5320000.0","1362","1347000.0","1362","2268000.0","673","1702875.0"
"110037","ALTO ALEGRE DOS PARECIS","RO","2021","2648","4163950.0","995","984450.0","1210","2037250.0","442","1138875.0"
"110040","ALTO PARAÍSO","RO","2021","4215","6520425.0","1682","1675350.0","1816","3024750.0","715","1812375.0"
"110045","BURITIS","RO","2021","8909","13543175.0","3726","3698550.0","3736","6179500.0","1445","3659250.0"
"110050","NOVO HORIZONTE DO OESTE","RO","2021","1774","2821925.0","516","508800.0","1021","1708250.0","237","604125.0"
"110060","CACAULÂNDIA","RO","2021","1081","1655775.0","388","386400.0","546","909000.0","145","356625.0"
"110070","CAMPO NOVO DE RONDÔNIA","RO","2021","2490","3830675.0","915","919050.0","1263","2117750.0","312","793875.0"
"110080","CANDEIAS DO JAMARI","RO","2021","6773","10830900.0","3118","3013350.0","1639","2715750.0","2004","5086875.0"
"110090","CASTANHEIRAS","RO","2021","676","1059725.0","243","242100.0","330","556250.0","103","261375.0"
"110092","CHUPINGUAIA","RO","2021","1642","2526400.0","675","646650.0","604","996000.0","360","882000.0"
"110094","CUJUBIM","RO","2021","4560","7038675.0","1845","1821300.0","1891","3130000.0","822","2081625.0"
"110100","GOVERNADOR JORGE TEIXEIRA","RO","2021","2183","3446175.0","735","739050.0","1156","1953000.0","292","754125.0"
"110110","ITAPUÃ DO OESTE","RO","2021","2096","3329500.0","871","849750.0","675","1094750.0","542","1375500.0"
"110120","MINISTRO ANDREAZZA","RO","2021","1490","2339300.0","454","447300.0","838","1388750.0","198","502125.0"
"110130","MIRANTE DA SERRA","RO","2021","2593","4002425.0","936","930300.0","1280","2117250.0","375","950625.0"
"110140","MONTE NEGRO","RO","2021","3047","4606950.0","1239","1237200.0","1404","2337500.0","404","1031250.0"
"110143","NOVA UNIÃO","RO","2021","1708","2644000.0","598","597750.0","912","1535500.0","198","510000.0"
"110145","PARECIS","RO","2021","850","1350400.0","290","284400.0","416","695500.0","143","369375.0"
"110146","PIMENTEIRAS DO OESTE","RO","2021","430","672650.0","180","180150.0","137","217250.0","113","275250.0"
"110147","PRIMAVERA DE RONDÔNIA","RO","2021","632","982100.0","202","200100.0","338","549750.0","91","231750.0"
"110148","SÃO FELIPE D´OESTE","RO","2021","1043","1595425.0","371","362550.0","528","878500.0","143","352875.0"
"110149","SÃO FRANCISCO DO GUAPORÉ","RO","2021","3925","6076050.0","1601","1584300.0","1599","2661000.0","724","1827000.0"
"110150","SERINGUEIRAS","RO","2021","2997","4502700.0","1259","1254450.0","1315","2177500.0","423","1069500.0"
"110155","TEIXEIRÓPOLIS","RO","2021","977","1500125.0","353","354750.0","491","813500.0","133","331125.0"
"110160","THEOBROMA","RO","2021","1933","3043600.0","588","581100.0","1111","1857250.0","232","603375.0"
"110170","URUPÁ","RO","2021","2662","4137700.0","1011","1009200.0","1238","2072250.0","411","1052625.0"
"110175","VALE DO ANARI","RO","2021","2044","3186050.0","731","731100.0","1009","1673000.0","304","780375.0"
"110180","VALE DO PARAÍSO","RO","2021","1597","2461800.0","602","601050.0","768","1286250.0","227","574500.0"
"120001","ACRELÂNDIA","AC","2021","3472","5406325.0","1428","1416450.0","1405","2358750.0","635","1627500.0"
"120005","ASSIS BRASIL","AC","2021","2855","3940875.0","1688","1667250.0","766","1257000.0","401","1016625.0"
"120010","BRASILÉIA","AC","2021","7596","11341950.0","3782","3774450.0","2428","4043000.0","1379","3513375.0"
"120013","BUJARI","AC","2021","2980","4660850.0","1324","1289850.0","938","1536500.0","717","1831875.0"
"120017","CAPIXABA","AC","2021","2623","4215250.0","952","954000.0","1088","1785750.0","578","1468875.0"
"120020","CRUZEIRO DO SUL","AC","2021","15516","23660125.0","6929","6648450.0","5088","8208250.0","3476","8772375.0"
"120025","EPITACIOLÂNDIA","AC","2021","5034","7635675.0","2615","2645550.0","1390","2350500.0","1028","2637750.0"
"120030","FEIJÓ","AC","2021","5579","9025625.0","2109","2124000.0","2266","3810000.0","1201","3085125.0"
"120032","JORDÃO","AC","2021","992","1550800.0","400","404550.0","395","635500.0","197","510750.0"
"120033","MÂNCIO LIMA","AC","2021","2282","3506175.0","1016","1012800.0","790","1279000.0","473","1210500.0"
"120034","MANOEL URBANO","AC","2021","1661","2617725.0","685","676350.0","637","1066500.0","339","874125.0"
"120035","MARECHAL THAUMATURGO","AC","2021","2318","3661175.0","839","848550.0","1064","1745000.0","414","1065000.0"
"120038","PLÁCIDO DE CASTRO","AC","2021","3842","5925100.0","1650","1615350.0","1413","2325250.0","777","1980750.0"
